name,president,secretary,totalMembers,foundationDate,ideologiesList,socialNetworksList,politicalPosturesList,address,image
Movimiento Regeneración Nacional,Yeidckol Polevnsky,Yeidckol Polevnsky,319449,2 de octubre de 2011| 9 de julio de 2014,socialdemocracia| reformismo y nacionalismo de izquierda,https://morena.si,Izquierda,Santa Anita #50; Col. Viaducto Piedad; Delegación Iztacalco; C.P. 08200; Ciudad de México,Morena_logo.png
Movimiento Ciudadano,Dante Delgado Rannauro,Pilar Lozano McDonald,468946,31 de julio de 2011,Socialdemocracia| Democracia participativa| Progresismo| Socioliberalismo,https://movimientociudadano.mx/,Centroizquierda,Louisiana No. 113 esq. Nueva York; Col. Nápoles; Del. Benito Juárez; C.P. 03810; Ciudad de México,Partido_Movimiento_Ciudadano_logo.png
Partido Acción Nacional,Marko Cortés Mendoza,Fernando Rodríguez Doval,378838,17 de septiembre de 1939,Conservadurismo social| Conservadurismo liberal​| Democracia cristiana| Humanismo cristiano,www.pan.org.mx,Centroderecha| Derecha,Av. Coyoacán No. 1546 Col. Del Valle; Delegación Benito Juárez; Ciudad de México,PAN_logo.png
Partido del Trabajo,Alberto Anaya,null,513315,8 de diciembre de 1990,Socialismo| Antiimperialismo| Laborismo| Nacionalismo popular| Socialismo del siglo XXI,PartidoDelTrabajo.org.mx,Izquierda,Av. Cuauhtémoc # 47; Col. Roma norte; Del. Cuauhtémoc; C.P. 06700; Ciudad de México,Partido_Del_Trabajo_logo.png
Partido Encuentro Social,Hugo Eric Flores Cervantes,Alejandro González Murillo,308997,30 de octubre de 2006| 9 de julio de 2014,Conservadurismo social| Tercera posición| Transversalidad,Encuentro.Social,Centroderecha,Av. Chapultepec #478; Col. Roma Norte; C.P. 06700; Del. Cuauhtémoc; Ciudad de México,Partido_Encuentro_Social.png
Partido Revolucionario Institucional,Claudia Ruiz Massieu Salinas,Arturo Zamora Jiménez,6368763,PNR: 4 de marzo de 1929| PRM: 30 de marzo de 1938| PRI: 18 de enero de 1946,Centralismo| Corporativismo| Tecnocracia| Neoliberalismo,www.pri.org.mx,Centro| Centroderecha,Av. Insurgentes Norte 59; col. Buenavista; delegación Cuauhtémoc; Ciudad de México,PRI_logo.png
Partido Verde Ecologista de México,Carlos Alberto Puente Salas,null,308224,1986,Politica verde| Conservadurismo| Neoliberalismo| Ecologismo,partidoverde.org.mx,Centroderecha| Derecha,Ciudad de México,Partido_Verde_logo.png
Partido de la Revolución Democrática,Manuel Granados Covarrubias,Ángel Ávila Romero,5254778,5 de mayo de 1989,Keynesianismo| Socialdemocracia,http://www.prd.org.mx/,Centroizquierda,Av. Benjamín Franklin #84; Col. Escandón; Delegación Miguel Hidalgo; Ciudad de México,PRD_logo.png
Sin Partido,null,null,null,null,null,null,null,null,null
